,SPX Equity,NVDA US Equity,AMD US Equity,IGLN LN Equity,MINE LN Equity,CBUK GY Equity,FXAC NA Equity,2899 HK Equity,AAPL US Equity,LLY US Equity,JNJ US Equity,PFE US Equity,OGN US Equity,3750 HK Equity,META US Equity,GOOGL US Equity,AIR FP Equity,BA US Equity,RR/ LN Equity,BA/ LN Equity,MDT US Equity,EMB US Equity,CBU0 LN Equity,PG US Equity,AMZN US Equity,NEXT US Equity,SO US Equity,JEMA LN Equity,EMIRATES UH Equity,KO US Equity,CON GR Equity,NFLX US Equity,SBUX US Equity,JGB1X SW Equity,USDCNY Equity,USDJPY Equity,USDHKD Equity,GBPUSD Equity,EURUSD Equity
,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST
2016-07-21,3864.0,1.3305,5.22,26.1675,,,,2.86,24.8575,80.4,125.15,34.7992,,,120.61,37.721,52.01,133.53,255.317,536.0,87.94,116.19,144.535,85.26,37.222,,53.9,389.5,8.267,45.45,122.088,85.99,57.6,,6.6755,105.82,7.7562,1.3233,1.1026
2016-07-22,3881.0,1.3668,5.84,26.1275,,,,2.89,24.665,81.59,125.03,34.8276,,,121.0,37.964,51.4,133.47,247.253,532.5,87.1,116.2,144.78,85.72,37.243,,54.54,387.0,,45.83,121.824,85.89,57.9,,6.6795,106.13,7.7577,1.3109,1.0977
2016-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.459,,,,,,,,,,
2016-07-25,3929.0,1.392,6.7,26.0288,,,,2.81,24.335,81.98,124.89,34.8656,,,121.63,37.876,51.08,132.94,246.395,533.0,86.92,115.91,144.72,85.8,36.981,10.04,54.54,389.0,8.372,45.57,122.609,87.66,57.95,,6.6799,105.81,7.7569,1.314,1.0995
2016-07-26,3958.0,1.4158,6.98,26.06,,,,2.87,24.1675,82.09,125.15,34.913,,,121.22,37.883,51.7,134.85,249.483,534.5,88.25,115.58,144.605,85.27,36.78,10.02,54.45,380.0,8.459,44.88,125.163,91.41,58.31,,6.672,104.66,7.7571,1.313,1.0986
2016-07-27,4012.0,1.4015,6.85,26.2025,,,,2.82,25.7375,83.4,124.77,34.9319,,,123.34,38.099,54.0,135.96,251.199,539.5,87.48,116.1,145.01,84.46,36.834,10.08,53.54,380.0,8.315,43.4,126.399,92.04,57.85,,6.67,105.4,7.7567,1.3223,1.1058
2016-07-28,3989.0,1.4045,6.82,26.3875,,,,2.95,26.085,82.93,124.46,34.7613,,,125.0,38.292,53.57,133.01,285.173,538.0,87.42,115.82,145.305,84.81,37.631,,53.26,377.0,8.315,43.65,125.383,91.65,58.21,,6.6576,105.27,7.7562,1.3164,1.1077
2016-07-29,3983.0,1.4275,6.86,26.6075,,,,2.82,26.0525,82.89,125.23,34.9698,,,123.94,39.567,52.63,133.66,271.446,534.0,87.63,116.19,145.785,85.59,37.941,,53.5,378.75,,43.63,125.418,91.25,58.05,,6.635,102.06,7.7575,1.323,1.1174
2016-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.42,,,,,,,,,,
2016-08-01,3965.0,1.4183,6.64,26.665,,,,2.92,26.5125,83.18,125.4,35.368,,,124.31,40.047,52.25,133.21,271.617,531.0,88.06,115.25,145.64,86.41,38.387,,53.65,379.0,8.42,43.45,125.211,94.37,57.63,,6.6439,102.39,7.7609,1.3179,1.1163
2016-08-02,3949.0,1.401,6.26,26.96,,,,,26.12,83.32,124.85,34.4959,,,123.09,40.006,51.26,131.6,260.979,526.5,87.64,114.98,145.085,86.76,38.029,,53.36,377.0,8.171,43.53,122.723,93.56,56.73,,6.6272,100.89,7.761,1.3357,1.1224
2016-08-03,3970.0,1.4048,6.3,26.7888,,,,2.99,26.4475,82.72,123.9,33.4531,,,122.51,39.946,50.46,131.87,257.719,523.0,86.67,115.14,144.93,85.97,37.732,,53.04,383.0,8.171,43.64,122.76,93.1,55.94,,6.6342,101.24,7.7588,1.3325,1.1149
2016-08-04,4015.0,1.4308,6.47,26.9125,,,,2.93,26.4675,82.42,123.86,33.3204,,,124.36,39.863,50.6,131.21,259.95,528.0,86.76,115.91,145.72,86.05,38.039,,53.16,385.0,8.171,43.51,122.676,93.44,55.42,,6.6418,101.22,7.7565,1.3107,1.113
2016-08-05,4059.0,1.455,6.61,26.4225,,,,2.98,26.87,81.56,124.24,33.5953,,,125.15,40.347,51.0,131.73,260.465,531.0,87.09,115.61,144.91,85.78,38.299,,52.64,387.25,,43.48,126.509,97.03,55.9,,6.6603,101.82,7.7551,1.3073,1.1086
2016-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.122,,,,,,,,,,
2016-08-08,4102.0,1.4685,6.68,26.3688,,,,2.93,27.0925,81.6,123.65,33.1119,,,125.26,40.262,50.34,132.19,259.607,525.5,86.96,116.3,144.645,85.76,38.328,,52.69,389.5,8.122,43.44,126.211,95.11,55.36,,6.6614,102.45,7.757,1.304,1.1088
2016-08-09,4348.0,1.4723,6.6,26.4588,,,,2.92,27.2025,81.5,123.43,33.2541,,,125.06,40.374,51.1,132.62,262.009,525.0,87.74,116.84,144.815,85.99,38.415,,52.84,398.0,8.026,43.47,128.847,93.99,55.2,,6.6557,101.88,7.7566,1.3003,1.1117
2016-08-10,4415.0,1.4628,6.49,26.5638,,,,3.0,27.0,80.55,123.36,33.3014,,,124.88,40.425,51.2,132.28,273.505,521.5,87.29,117.18,145.285,86.31,38.428,,52.88,395.25,8.026,43.61,129.449,93.93,55.62,,6.636,101.29,7.7564,1.301,1.1176
2016-08-11,4486.0,1.4925,6.58,26.65,,,,3.01,26.9825,80.56,123.77,33.3204,,,124.9,40.41,51.84,133.0,274.191,527.0,87.8,117.0,145.05,86.73,38.562,10.1901,52.32,395.0,8.026,43.75,130.089,95.89,55.47,,6.6337,101.96,7.7566,1.2956,1.1137
2016-08-12,4444.0,1.576,6.73,26.6825,,,,2.95,27.045,80.22,123.22,33.1593,,,124.88,40.353,52.03,133.1,274.363,531.5,87.54,117.5,145.52,87.04,38.628,,52.35,398.5,,44.03,129.311,96.59,55.47,,6.6362,101.3,7.7562,1.292,1.1162
2016-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.026,,,,,,,,,,
2016-08-15,4442.0,1.5745,6.95,26.4813,,,,2.89,27.37,80.26,122.31,33.2825,,,123.9,40.298,52.28,134.66,273.162,533.5,87.91,117.64,145.05,87.02,38.425,10.04,51.49,404.0,8.026,44.24,129.355,95.31,55.25,,6.638,101.26,7.7556,1.288,1.1184
2016-08-16,4409.0,1.565,6.78,26.6375,,,,2.93,27.345,79.84,120.33,32.9791,,,123.3,40.06,51.49,135.0,270.416,521.5,87.27,117.33,144.525,86.58,38.202,10.0014,50.96,403.0,7.978,43.83,128.792,95.12,55.37,,6.6253,100.31,7.754,1.3046,1.1279
2016-08-17,4370.0,1.5288,6.68,26.56,,,,2.89,27.305,80.11,121.31,33.3109,,,124.37,40.271,50.69,134.72,268.529,522.5,87.13,117.69,144.555,86.96,38.232,,51.47,406.0,7.882,44.06,128.01,96.37,55.8,,6.6343,100.28,7.7544,1.3042,1.1289
2016-08-18,4389.0,1.5525,7.04,26.645,,,,2.89,27.27,79.78,120.72,33.3583,,,123.91,40.138,50.0,135.0,270.76,527.5,87.08,117.97,144.985,87.44,38.223,,52.31,402.5,7.882,44.1,128.029,96.16,55.53,,6.6312,99.89,7.7534,1.3168,1.1354
2016-08-19,4386.0,1.5565,7.62,26.4875,,,,2.87,27.34,79.06,119.92,33.1593,,,123.56,39.983,49.86,134.44,271.789,529.0,87.04,117.42,144.485,87.31,37.866,,51.96,406.75,,43.92,127.875,95.87,54.94,,6.6532,100.22,7.7533,1.3075,1.1325
2016-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.882,,,,,,,,,,
2016-08-22,4381.0,1.563,7.58,26.4213,,,,2.82,27.1275,79.29,119.13,33.0265,,,124.15,39.848,49.975,134.99,269.215,528.5,87.32,117.57,144.965,86.85,37.974,10.04,52.0,407.0,7.882,43.74,127.174,95.26,55.85,,6.6507,100.33,7.7531,1.3137,1.132
2016-08-23,4441.0,1.5727,7.67,26.4325,,,,2.84,27.2125,79.57,119.44,33.2635,,,124.37,39.83,50.6,134.14,272.475,532.0,87.8,117.67,144.84,87.4,38.123,10.1,51.71,403.0,8.122,43.85,127.364,95.94,56.4,,6.6409,100.24,7.7533,1.3198,1.1305
2016-08-24,4412.0,1.5485,7.43,26.1775,,,,2.78,27.0075,78.44,118.71,33.0076,,,123.48,39.68,51.21,133.29,270.588,530.5,86.65,117.27,144.935,87.31,37.863,10.1,51.79,401.75,7.882,43.85,126.995,95.18,57.09,,6.659,100.45,7.7537,1.3232,1.1264
2016-08-25,4410.0,1.5383,7.465,26.1,,,,2.73,26.8925,78.01,118.57,32.9602,,,123.89,39.565,50.55,132.98,265.612,528.5,85.39,117.26,144.82,87.9,37.961,,51.86,400.0,7.834,43.67,125.672,97.32,57.29,,6.6595,100.53,7.755,1.3192,1.1285
2016-08-26,4437.0,1.5508,7.67,26.2525,,,,2.74,26.735,78.24,119.04,33.0076,,,124.96,39.661,51.04,132.23,269.215,540.5,86.6,117.11,144.925,87.58,38.45,10.0804,51.05,406.0,,43.32,125.36,97.58,57.29,,6.6695,101.84,7.757,1.3137,1.1198
2016-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.882,,,,,,,,,,
2016-08-29,,1.5498,7.59,,,,,2.72,26.705,78.6,119.92,33.2825,,,126.54,39.791,51.3,132.9,,,87.46,117.69,,88.3,38.564,,51.34,,7.882,43.54,125.76,97.3,56.8,,6.683,101.92,7.7561,1.3106,1.1189
2016-08-30,4374.0,1.5408,7.49,25.9775,,,,2.7,26.5,77.77,119.47,33.0645,,,125.84,39.596,51.44,130.81,263.381,538.0,86.85,117.65,144.62,87.54,38.379,,50.96,406.0,7.901,43.24,126.127,97.45,56.4,,6.6807,102.96,7.7575,1.308,1.1143
2016-08-31,4334.0,1.5335,7.4,25.8075,,,,2.58,26.525,77.75,119.34,32.9886,,,126.12,39.493,52.29,129.45,264.239,538.5,87.03,117.22,144.565,87.31,38.458,10.07,51.33,401.0,8.046,43.43,125.413,97.45,56.23,,6.6793,103.43,7.757,1.3138,1.1158
2016-09-01,4332.0,1.5787,7.35,25.895,,,,2.57,26.6825,77.23,119.08,32.8749,,,126.17,39.57,51.85,129.9,260.808,539.5,86.98,116.58,144.605,88.31,38.531,,51.18,402.125,8.036,43.35,127.371,97.38,56.31,,6.675,103.23,7.7578,1.3268,1.1197
2016-09-02,4401.0,1.5633,7.51,26.0125,,,,2.61,26.9325,76.85,119.32,32.9602,,,126.51,39.844,53.19,131.16,268.872,548.0,87.32,116.92,144.195,88.2,38.622,10.05,51.8,400.5,,43.66,128.57,97.38,56.18,,6.6805,103.92,7.7553,1.3294,1.1156
2016-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.844,,,,,,,,,,
2016-09-05,4404.0,,,26.1825,,,,2.65,,,,,,,,,53.86,,268.701,555.5,,,144.23,,,,,404.0,7.853,,128.709,,,,6.6771,103.43,7.7553,1.3304,1.1147
2016-09-06,4404.0,1.578,7.34,26.445,,,,2.67,26.925,78.51,119.75,32.9602,,,129.73,40.401,54.4,132.99,265.612,550.0,87.17,117.64,144.88,88.64,39.444,,52.13,406.375,7.873,43.79,129.162,100.09,56.02,,6.67,102.02,7.7553,1.344,1.1255
2016-09-07,4405.0,1.5547,6.84,26.5475,,,,2.69,27.09,78.59,119.61,33.0265,,,131.05,40.4,54.75,132.64,263.21,552.5,86.15,117.97,145.11,87.95,39.224,,52.22,411.0,7.863,43.64,130.159,99.15,56.32,,6.6625,101.74,7.7558,1.3341,1.1239
2016-09-08,4386.0,1.566,6.225,26.445,,,,2.66,26.38,79.89,119.47,32.9128,,,130.27,40.142,55.5,132.9,257.376,550.5,86.26,117.43,144.515,87.78,39.203,,52.47,415.75,7.863,43.63,128.909,99.66,55.3,,6.668,102.49,7.7571,1.3295,1.126
2016-09-09,4328.0,1.488,5.9,26.3125,,,,2.66,25.7825,78.24,118.23,32.3251,,,127.1,39.424,55.63,128.53,248.968,548.0,84.87,116.28,143.745,86.24,38.007,,50.87,408.0,,42.27,127.422,96.5,54.35,,6.685,102.69,7.7571,1.3267,1.1233
2016-09-12,4301.0,1.5188,5.94,26.115,,,,2.58,26.36,79.08,119.16,32.8464,,,128.69,39.941,54.5,130.12,246.395,545.0,86.2,116.26,143.53,88.25,38.575,,51.96,405.0,,43.19,127.06,99.05,54.71,,6.6802,101.85,7.7581,1.3337,1.1235
2016-09-13,4286.0,1.4968,5.74,26.145,,,,2.51,26.9875,78.48,117.61,32.2682,,,127.21,39.436,53.82,128.76,246.909,544.5,84.84,114.98,143.555,87.05,38.051,,51.26,409.0,,42.28,126.286,96.09,53.98,,6.6795,102.56,7.7584,1.3193,1.122
2016-09-14,4365.0,1.51,6.04,26.1388,,,,2.48,27.9425,78.29,117.86,32.1734,,,127.77,39.523,53.06,127.67,249.14,546.5,84.68,115.2,143.655,87.01,38.055,,51.35,409.5,,42.11,125.761,97.01,53.9,,6.6747,102.43,7.7582,1.3235,1.125
2016-09-15,4428.0,1.5673,6.02,26.0225,,,,2.55,28.8925,78.82,118.63,32.363,,,128.35,40.062,52.81,127.77,250.341,548.5,85.66,115.68,143.59,88.06,38.485,,51.46,405.25,7.882,42.36,126.035,97.34,54.11,,,102.1,7.7586,1.3239,1.1244
2016-09-16,4417.0,1.571,6.05,25.8525,,,,,28.73,78.8,118.25,32.1734,,,129.07,39.899,52.58,126.7,249.655,534.5,86.01,115.35,143.745,88.05,38.926,,51.97,405.0,,42.14,123.555,99.48,53.74,,,102.29,7.7586,1.3002,1.1155
2016-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.017,,,,,,,,,,
2016-09-19,4454.0,1.5918,6.16,25.9175,,,,2.56,28.395,79.16,117.66,31.8985,,,128.65,39.77,52.82,127.48,253.773,542.0,85.99,115.76,143.675,88.37,38.755,,52.43,415.25,7.978,42.1,124.869,98.06,53.01,,6.6685,101.93,7.7579,1.303,1.1175
2016-09-20,4490.0,1.5773,6.17,25.9725,,,,2.52,28.3925,79.88,117.95,32.0502,,,128.64,39.989,52.47,127.79,251.542,544.5,86.36,115.89,143.92,88.58,39.011,,52.14,420.0,7.882,42.34,126.203,98.25,53.3,,6.672,101.7,7.7571,1.2988,1.1151
2016-09-21,4463.0,1.6215,6.29,26.185,,,,2.56,28.3875,80.87,118.91,32.4957,,,129.94,40.252,52.65,130.56,249.14,533.5,87.14,117.15,143.52,87.8,39.487,,53.18,413.0,7.844,42.53,126.919,94.88,53.98,,6.6688,100.32,7.7554,1.3032,1.1189
2016-09-22,4501.0,1.6255,6.37,26.4463,,,,2.6,28.655,81.29,119.46,32.3725,,,130.08,40.798,53.72,131.87,251.542,537.5,87.82,117.61,144.515,88.99,40.235,,53.48,426.0,7.844,42.96,128.532,95.83,54.39,,6.6648,100.76,7.7555,1.3078,1.1208
2016-09-23,4472.0,1.6238,6.55,26.4175,,,,2.56,28.1775,81.16,118.81,32.4767,,,127.96,40.748,53.81,131.78,247.939,524.5,87.71,117.24,144.46,87.76,40.288,,53.53,426.375,,42.74,127.601,95.94,54.43,,6.6694,101.02,7.7567,1.2966,1.1226
2016-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.844,,,,,,,,,,
2016-09-26,4413.0,1.6085,6.32,26.465,,,,2.54,28.22,79.52,117.78,31.889,,,127.31,40.133,52.49,130.57,244.336,519.5,86.56,116.88,144.815,87.85,39.958,,53.31,425.125,7.844,42.05,124.857,94.56,54.04,,6.6689,100.33,7.7553,1.2975,1.1254
2016-09-27,4412.0,1.6635,6.54,26.1625,,,,2.52,28.2725,80.88,119.22,32.0691,,,128.69,40.537,52.14,131.32,243.992,520.0,86.67,117.21,145.09,88.36,40.806,,52.84,424.5,7.853,42.59,124.715,97.07,54.19,,6.6701,100.43,7.7551,1.3023,1.1215
2016-09-28,4447.0,1.6695,6.59,26.04,,,,2.49,28.4875,80.71,119.39,32.2208,,,129.23,40.503,52.71,132.23,246.223,526.0,86.74,117.33,145.295,89.46,41.436,,52.7,421.0,7.796,42.15,125.892,97.48,53.98,,6.6751,100.69,7.7538,1.3019,1.1217
2016-09-29,4490.0,1.685,6.67,26.015,,,,2.49,28.045,79.74,117.27,31.5857,,,128.09,40.132,53.3,131.03,244.507,524.0,85.4,116.86,144.945,88.23,41.453,,52.05,419.0,7.844,42.03,123.33,96.67,53.45,,6.6672,101.03,7.7558,1.2968,1.1222
2016-09-30,4495.0,1.713,6.91,26.065,,,,2.49,28.2625,80.26,118.13,32.107,,,128.27,40.203,53.84,131.74,247.081,524.0,86.4,117.21,144.865,89.75,41.866,,51.3,426.0,,42.32,124.819,98.55,54.14,,6.6718,101.35,7.7564,1.2972,1.1235
2016-10-03,4536.0,1.7113,6.95,25.88,,,,2.52,28.13,81.0,118.81,31.9269,,,128.77,40.019,53.74,132.38,253.086,531.5,86.39,116.94,144.565,88.66,41.837,,50.72,435.5,7.834,42.03,124.214,102.63,53.84,,,101.65,7.7558,1.2842,1.1211
2016-10-04,4669.0,1.7075,6.97,25.31,,,,2.53,28.25,81.11,118.82,31.9648,,,128.19,40.14,54.85,132.25,260.979,545.5,86.11,116.43,144.29,88.35,41.701,,49.84,426.5,7.786,41.84,125.216,102.34,53.53,,,102.9,7.7561,1.2728,1.1204
2016-10-05,4595.0,1.7058,6.78,25.015,,,,2.47,28.2625,81.75,119.18,32.1355,,,128.47,40.062,55.08,134.66,258.92,538.0,86.3,116.46,143.445,88.85,42.218,,49.52,432.0,7.786,41.81,124.581,106.28,53.35,,,103.5,7.7573,1.2749,1.1205
2016-10-06,4578.0,1.6835,6.96,24.7475,,,,2.42,28.4725,81.47,118.75,31.8985,,,128.74,40.154,54.43,134.42,260.808,537.0,85.95,116.28,143.365,89.22,42.083,,49.43,434.0,7.786,41.71,123.951,105.07,53.14,,,103.95,7.7573,1.2616,1.1151
2016-10-07,4561.0,1.6713,6.75,24.57,,,,2.39,28.515,82.09,119.24,31.8132,,,128.99,40.036,53.83,133.85,266.127,540.5,85.96,116.35,143.065,90.0,41.972,,49.16,449.0,,41.73,121.119,104.82,53.46,,,102.98,7.7584,1.2434,1.1201
2016-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.738,,,,,,,,,,
2016-10-10,4585.0,1.6775,6.84,24.8225,,,,,29.0125,83.06,119.8,31.8606,,,130.24,40.709,54.33,135.84,269.558,547.5,86.17,116.78,142.765,89.06,42.086,,49.75,457.0,7.69,41.73,121.92,103.33,53.3,,6.7074,103.61,7.7585,1.2362,1.1139
2016-10-11,4572.0,1.6533,6.5,24.8475,,,,2.41,29.075,81.81,117.64,31.4056,,,128.88,40.479,53.03,133.74,265.784,544.0,83.2,115.85,143.18,88.54,41.55,,49.41,462.5,7.786,41.54,120.519,100.59,52.92,,6.722,103.51,7.7586,1.2123,1.1054
2016-10-12,4553.0,1.6608,6.62,24.71,,,,2.37,29.335,80.51,117.97,31.3487,,,129.05,40.588,52.48,133.16,258.749,541.0,83.68,115.85,142.73,88.57,41.705,,50.03,454.0,7.738,41.78,119.677,99.5,53.16,,6.7195,104.21,7.7573,1.2204,1.1007
2016-10-13,4513.0,1.6337,6.49,24.8025,,,,2.36,29.245,80.0,118.26,31.0548,,,127.82,40.204,52.42,133.38,257.891,536.0,83.31,116.12,143.27,88.24,41.464,,50.76,449.0,7.728,41.76,117.462,100.23,52.95,,6.7274,103.71,7.7571,1.2254,1.1056
2016-10-14,4562.0,1.6498,6.75,24.7,,,,2.38,29.4075,79.27,117.56,30.96,,,127.88,40.23,52.6,133.5,262.352,543.0,82.71,115.54,143.14,88.43,41.148,,50.56,449.0,,41.67,117.187,101.47,53.08,,6.7283,104.18,7.7586,1.2191,1.0972
2016-10-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.786,,,,,,,,,,
2016-10-17,4551.0,1.6403,6.67,24.7675,,,,2.36,29.3875,78.53,118.49,30.8083,,,127.54,40.342,52.71,134.0,265.44,541.0,82.57,115.57,143.11,87.83,40.648,10.0701,50.69,447.0,7.786,41.6,113.823,99.8,52.76,,6.7375,103.89,7.7587,1.2183,1.1
2016-10-18,4617.0,1.6653,6.73,24.88,,,,2.41,29.3675,78.77,115.41,30.9885,,,128.57,41.075,53.63,135.1,261.151,546.0,83.55,115.75,143.31,87.45,40.883,10.08,51.09,449.25,7.786,41.97,115.577,118.79,52.61,,6.7409,103.87,7.7593,1.2298,1.0981
2016-10-19,4612.0,1.6618,6.77,25.09,,,,2.4,29.28,78.56,114.59,30.9031,,,130.11,41.355,54.13,136.18,262.867,553.5,83.67,115.9,143.54,85.54,40.885,,50.73,452.5,7.69,42.05,115.959,121.87,53.15,,6.7378,103.44,7.7575,1.2285,1.0974
2016-10-20,4539.0,1.6933,6.96,24.98,,,,2.42,29.265,78.74,114.87,30.8463,,,130.0,41.082,54.27,135.84,262.867,541.5,84.02,116.0,143.465,84.93,40.516,,50.72,450.0,7.594,41.93,118.071,123.35,53.59,,6.7449,103.95,7.7582,1.2254,1.0929
2016-10-21,4567.0,1.6885,6.52,24.985,,,,,29.15,78.25,113.44,30.505,,,132.07,41.203,54.26,135.63,259.092,539.5,83.91,116.48,143.445,84.33,40.95,,50.53,451.0,,42.13,115.653,127.5,53.63,,6.767,103.8,7.7585,1.2234,1.0884
2016-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.594,,,,,,,,,,
2016-10-24,4541.0,1.7678,7.005,24.9175,,,,2.44,29.4125,77.57,113.61,30.4576,,,133.28,41.787,54.83,137.45,256.003,540.0,83.3,116.47,143.22,84.1,41.905,,50.85,450.0,7.69,42.56,116.044,127.33,54.18,,6.7752,104.18,7.7574,1.2238,1.0882
2016-10-25,4495.0,1.7968,7.5,25.1275,,,,2.42,29.5625,77.75,113.96,30.5998,,,132.29,41.427,53.39,139.02,253.601,540.5,82.47,116.52,143.41,86.97,41.759,,50.97,460.0,7.69,42.54,115.525,126.51,53.67,,6.7804,104.22,7.7566,1.2188,1.0889
2016-10-26,4453.0,1.804,7.29,25.025,,,,2.5,28.8975,76.76,114.56,30.7135,,,131.04,41.105,55.4,145.54,252.743,541.0,81.12,115.84,143.075,87.4,41.13,,50.97,457.0,7.594,42.44,115.893,126.97,53.63,,6.7711,104.47,7.7573,1.2247,1.0908
2016-10-27,4394.0,1.767,7.11,25.0475,,,,2.45,28.62,76.16,115.7,30.7894,,,129.69,40.868,55.45,143.31,254.116,544.0,81.13,114.85,142.32,86.58,40.918,10.1167,50.76,451.0,7.594,42.12,116.995,126.47,53.59,,6.7835,105.29,7.7552,1.2164,1.0897
2016-10-28,4394.0,1.764,7.2,25.0088,,,,2.43,28.43,74.53,115.33,30.268,,,131.29,40.978,55.0,143.01,252.057,542.5,81.93,114.57,142.4,86.84,38.816,,50.7,452.0,,42.23,116.594,126.57,53.53,,6.7789,104.74,7.755,1.2185,1.0985
2016-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.594,,,,,,,,,,
2016-10-31,4412.0,1.779,7.23,25.12,,,,2.44,28.385,73.84,115.99,30.0595,,,130.99,40.495,54.15,142.43,249.312,542.5,82.02,114.69,142.515,86.8,39.491,10.12,51.57,455.0,7.69,42.4,116.675,124.87,53.07,,6.7758,104.82,7.7552,1.2242,1.0981
2016-11-01,4374.0,1.7263,7.09,25.4625,,,,2.47,27.8725,72.98,115.34,29.4528,,,129.5,40.274,53.32,142.41,249.14,538.5,80.92,114.12,142.43,86.85,39.271,,50.48,458.0,7.594,42.12,115.158,123.3,52.5,,6.7657,104.15,7.755,1.2243,1.1055
2016-11-02,4368.0,1.719,6.76,25.755,,,,2.61,27.8975,72.65,114.86,29.0357,,,127.17,39.421,52.59,140.75,247.081,535.0,81.09,114.0,143.01,86.74,38.278,10.12,50.19,455.0,7.594,42.05,113.872,122.34,52.98,,6.757,103.3,7.7553,1.2304,1.1098
2016-11-03,4324.0,1.699,6.7,25.64,,,,2.61,27.4575,72.11,115.03,28.3342,,,120.0,39.11,52.08,140.02,242.791,534.5,81.6,114.3,142.925,86.6,38.352,10.1099,50.39,448.0,7.613,42.03,112.285,122.14,51.77,,6.765,102.98,7.7551,1.2461,1.1105
2016-11-04,4261.0,1.6893,6.56,25.7275,,,,2.6,27.21,72.49,115.11,28.4385,,,120.75,39.055,51.92,139.54,244.507,539.0,82.14,114.02,143.37,85.08,37.753,10.11,50.11,433.0,,41.69,111.12,122.03,52.75,,6.7564,103.12,7.7559,1.2517,1.1141
2016-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.603,,,,,,,,,,
2016-11-07,4316.0,1.7818,6.96,25.275,,,,2.56,27.6025,73.88,116.66,28.7987,,,122.15,40.102,53.15,143.03,248.454,550.0,83.95,114.94,142.885,86.56,39.247,10.1201,50.62,442.0,7.594,42.46,113.714,124.58,54.49,,6.7766,104.46,7.7553,1.2396,1.1041
2016-11-08,4328.0,1.779,7.0,25.195,,,,2.61,27.765,74.02,117.05,28.4385,,,124.22,40.599,52.82,142.2,246.566,548.0,84.34,115.24,142.395,87.46,39.388,10.13,50.76,448.0,7.555,42.88,114.03,124.34,54.62,,6.7869,105.16,7.7547,1.2379,1.1026
2016-11-09,4384.0,1.749,6.94,25.3425,,,,2.74,27.72,78.39,120.31,30.4481,,,123.18,40.28,54.26,145.09,260.121,585.0,82.86,113.53,141.31,85.93,38.594,10.15,49.22,452.5,7.546,42.27,113.283,122.19,54.58,,6.7915,105.67,7.7558,1.2406,1.091
2016-11-10,4372.0,1.6942,6.295,24.92,,,,2.69,26.9475,78.34,119.54,31.7468,,,120.8,39.015,55.35,147.69,264.411,612.0,82.72,109.34,139.94,82.96,37.119,,47.91,460.0,7.498,40.94,107.812,115.42,53.57,,6.8059,106.83,7.7562,1.2555,1.0893
2016-11-11,4205.0,2.1993,6.685,24.255,,,,2.79,27.1075,77.67,118.47,30.8937,,,119.02,38.588,54.76,148.52,254.116,590.5,82.07,108.71,139.475,83.58,36.951,,47.78,456.5,,41.03,110.188,114.78,53.93,,6.812,106.65,7.7584,1.2596,1.0855
2016-11-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.402,,,,,,,,,,
2016-11-14,4174.0,2.091,6.79,24.0125,,,,2.67,26.4275,77.02,116.6,30.6946,,,115.08,37.661,56.37,149.99,256.003,593.5,78.75,108.16,138.44,83.0,35.954,,47.63,456.625,7.402,41.17,111.234,113.38,54.22,,6.86,108.42,7.7584,1.249,1.0737
2016-11-15,4231.0,2.1548,6.97,24.125,,,,2.62,26.7775,77.32,116.32,30.5524,,,117.2,38.758,56.47,148.11,258.92,600.0,80.27,110.02,138.29,83.62,37.162,10.15,48.34,460.0,7.402,41.44,112.274,113.59,54.59,,6.859,109.2,7.7577,1.2457,1.0722
2016-11-16,4144.0,2.2908,7.67,24.1925,,,,2.63,27.4975,76.94,116.36,30.2965,,,116.34,38.999,54.82,146.44,253.43,599.5,80.89,109.95,138.205,83.19,37.325,,48.43,455.0,7.498,41.26,112.72,115.19,55.44,,6.8804,109.08,7.7577,1.2443,1.0691
