,SPX Equity,NVDA US Equity,AMD US Equity,IGLN LN Equity,MINE LN Equity,CBUK GY Equity,FXAC NA Equity,2899 HK Equity,AAPL US Equity,LLY US Equity,JNJ US Equity,PFE US Equity,OGN US Equity,3750 HK Equity,META US Equity,GOOGL US Equity,AIR FP Equity,BA US Equity,RR/ LN Equity,BA/ LN Equity,MDT US Equity,EMB US Equity,CBU0 LN Equity,PG US Equity,AMZN US Equity,NEXT US Equity,SO US Equity,JEMA LN Equity,EMIRATES UH Equity,KO US Equity,CON GR Equity,NFLX US Equity,SBUX US Equity,JGB1X SW Equity,USDCNY Equity,USDJPY Equity,USDHKD Equity,GBPUSD Equity,EURUSD Equity
,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST
2013-10-29,3040.592,0.3808,3.33,26.715,,,,1.78,18.4528,50.2,93.14,29.6234,,,49.395,25.931,49.33,129.66,398.075,454.0,58.5,111.29,126.8,82.46,18.135,,42.39,557.5,5.306,39.8,87.855,46.757,39.81,,6.087,98.19,7.7535,1.6047,1.3745
2013-10-30,3033.332,0.3805,3.3,26.9163,,,,1.79,18.7463,49.21,92.79,29.3201,,,49.01,25.785,50.28,129.68,394.986,452.9,57.94,110.96,127.295,81.52,18.054,,41.9,557.25,5.287,39.62,89.626,45.449,40.415,,6.0935,98.51,7.7534,1.6039,1.3736
2013-10-31,3026.073,0.3797,3.34,26.26,,,,1.79,18.6679,49.82,92.61,29.0878,,,50.205,25.789,50.61,130.5,394.643,454.7,57.4,111.35,126.5,80.75,18.202,,40.91,560.0,5.306,39.57,90.228,46.069,40.525,,6.0942,98.36,7.7532,1.604,1.3584
2013-11-01,3007.407,0.3814,3.31,26.0863,,,,1.79,18.5725,50.38,93.37,29.5476,,,49.75,25.701,50.61,133.03,392.241,455.7,57.26,110.32,125.95,81.15,17.95,,41.02,559.0,,39.61,90.495,47.038,40.185,,6.0996,98.67,7.7521,1.5926,1.3487
2013-11-04,2992.888,0.3705,3.32,26.1737,,,,1.8,18.8125,50.41,93.03,29.6329,,,48.22,25.678,52.01,132.79,389.839,455.0,57.27,110.3,126.15,81.33,17.937,,41.49,558.0,5.287,39.51,91.097,48.229,40.185,,6.0992,98.6,7.7518,1.5968,1.3514
2013-11-05,2982.518,0.37,3.33,26.04,,,,1.8,18.766,50.37,92.81,29.6139,,,50.105,25.563,52.66,133.57,393.271,453.3,57.1,109.73,125.5,81.43,17.945,,41.1,551.0,5.277,39.5,90.829,48.786,40.995,,6.0978,98.5,7.7518,1.6046,1.3474
2013-11-06,3040.592,0.3725,3.32,26.1475,,,,1.79,18.6043,50.49,93.04,29.358,,,49.12,25.594,53.51,133.09,394.643,455.8,57.47,109.65,125.92,82.81,17.809,,41.77,552.5,5.287,40.05,90.375,47.947,40.565,,6.0932,98.66,7.7516,1.6081,1.3513
2013-11-07,3069.629,0.3636,3.28,26.025,,,,1.78,18.3033,50.01,92.69,29.3011,,,47.56,25.223,53.64,131.51,401.507,460.2,57.3,109.39,126.255,82.32,17.178,,41.52,542.5,,39.83,96.31,46.694,39.535,,6.0916,98.09,7.7516,1.6097,1.3419
2013-11-08,3021.925,0.389,3.27,25.5325,,,,1.73,18.5914,50.63,94.05,29.6898,,,47.53,25.425,53.44,133.49,415.233,457.0,58.03,108.55,124.98,82.51,17.516,,41.21,540.0,,40.05,96.263,47.843,40.6,,6.091,99.05,7.7517,1.6017,1.3367
2013-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.306,,,,,,,,,,
2013-11-11,3045.777,0.3923,3.34,25.4813,,,,1.75,18.5374,50.28,94.29,29.6139,,,46.2,25.289,53.8,132.53,415.233,451.7,58.09,107.92,124.915,82.26,17.719,,41.5,543.0,5.277,39.87,95.748,48.273,40.495,,6.0912,99.16,7.7526,1.5989,1.3407
2013-11-12,3044.74,0.3929,3.44,25.3375,,,,1.76,18.5718,50.06,93.56,29.7466,,,46.605,25.319,52.35,132.33,416.263,452.0,57.89,107.21,124.725,82.8,17.476,,41.39,543.75,5.191,39.88,96.911,47.676,40.3075,,6.0933,99.64,7.753,1.5905,1.3436
2013-11-13,3013.629,0.4037,3.54,25.3337,,,,1.77,18.5941,50.55,93.34,30.2111,,,48.71,25.837,51.76,133.17,415.233,447.2,58.19,107.63,125.06,83.5,17.811,,41.74,536.5,5.191,40.12,97.626,47.898,40.7305,,6.092,99.25,7.7532,1.6057,1.3487
